series_name,Global Sales,Critic Rating,Releases,Length,Time Per Release,Average Rating,Sales Per Release
call of duty,170730000.0,1666.6,22,14.0,1.0,75.75454545454545,7760454.545454546
fifa,145900000.0,2260.1,30,18.0,1.0,75.33666666666666,4863333.333333333
grand theft auto,142520000.0,1013.8,12,14.0,1.0,84.48333333333333,11876666.666666666
madden nfl,92850000.0,1658.7,21,18.0,1.0,78.9857142857143,4421428.571428572
need for speed,87870000.0,1399.7,19,18.0,1.0,73.66842105263159,4624736.842105263
star wars,87420000.0,2338.7,34,21.0,1.0,68.78529411764706,2571176.470588235
guitar hero,62610000.0,1144.1,15,10.0,1.0,76.27333333333333,4174000.0
tom clancys,58140000.0,2045.2999999999997,28,15.0,1.0,73.04642857142856,2076428.5714285714
sims,55380000.0,2934.8999999999996,41,18.0,0.0,71.58292682926829,1350731.7073170731
nba 2k,47300000.0,1473.4,19,16.0,1.0,77.54736842105264,2489473.6842105263
battlefield,41930000.0,649.9,8,13.0,2.0,81.2375,5241250.0
harry potter,40700000.0,768.0,12,15.0,1.0,64.0,3391666.6666666665
red dead redemption,35090000.0,307.0,4,8.0,2.0,76.75,8772500.0
final fantasy,33170000.0,2573.5,34,19.0,1.0,75.69117647058823,975588.2352941176
metal gear solid,31770000.0,1330.2,16,15.0,1.0,83.1375,1985625.0
halo,29670000.0,590.5,7,12.0,2.0,84.35714285714286,4238571.428571428
spider-man,29620000.0,852.8,12,11.0,1.0,71.06666666666666,2468333.3333333335
pro evolution soccer,29030000.0,991.0,13,11.0,1.0,76.23076923076923,2233076.923076923
fallout,24920000.0,511.6,7,14.0,2.0,73.08571428571429,3560000.0
resident evil,24120000.0,1230.6999999999998,19,17.0,1.0,64.77368421052631,1269473.6842105263
far cry,23730000.0,589.0,8,12.0,2.0,73.625,2966250.0
forza,23730000.0,769.0,9,13.0,1.0,85.44444444444444,2636666.6666666665
tomb raider,21250000.0,888.8,12,22.0,2.0,74.06666666666666,1770833.3333333333
dragon ball z,18690000.0,2120.5,33,16.0,0.0,64.25757575757575,566363.6363636364
saints row,14370000.0,370.3,5,7.0,1.0,74.06,2874000.0
naruto,14310000.0,2051.0,31,12.0,0.0,66.16129032258064,461612.9032258064
fight night,14180000.0,427.2,5,7.0,1.0,85.44,2836000.0
wwe 2k,13540000.0,413.0,6,5.0,1.0,68.83333333333333,2256666.6666666665
f1,13450000.0,1054.8999999999999,14,17.0,1.0,75.35,960714.2857142857
burnout,13260000.0,767.5,9,17.0,2.0,85.27777777777777,1473333.3333333333
dance revolution,12090000.0,952.0,13,8.0,1.0,73.23076923076923,930000.0
hitman,11640000.0,562.5,7,16.0,2.0,80.35714285714286,1662857.142857143
bioshock,11180000.0,361.0,4,9.0,2.0,90.25,2795000.0
transformers,10470000.0,553.7,9,8.0,1.0,61.522222222222226,1163333.3333333333
dragon age,9390000.0,252.5,3,5.0,2.0,84.16666666666667,3130000.0
dead space,8510000.0,335.5,4,5.0,1.0,83.875,2127500.0
mafia,8000000.0,215.0,3,12.0,4.0,71.66666666666667,2666666.6666666665
just cause,7530000.0,293.9,4,12.0,3.0,73.475,1882500.0
pac-man,7480000.0,535.7,9,13.0,1.0,59.522222222222226,831111.1111111111
atv offroad fury,6820000.0,381.0,5,5.0,1.0,76.2,1364000.0
dishonored,6400000.0,337.8,4,4.0,1.0,84.45,1600000.0
donkey kong,5190000.0,550.0,8,14.0,2.0,68.75,648750.0
teenage mutant ninja turtles,4920000.0,363.0,7,13.0,2.0,51.857142857142854,702857.1428571428
tenchu,4830000.0,533.0,8,11.0,1.0,66.625,603750.0
darksiders,4170000.0,387.2,5,8.0,2.0,77.44,834000.0
crazy taxi,4060000.0,337.5,5,6.0,1.0,67.5,812000.0
dead or alive,3800000.0,636.5,9,17.0,2.0,70.72222222222223,422222.22222222225
Football Manager,3620000.0,491.0,6,9.0,2.0,81.83333333333333,603333.3333333334
armored core,3550000.0,604.5,9,13.0,1.0,67.16666666666667,394444.44444444444
ape escape,3460000.0,409.0,6,12.0,2.0,68.16666666666667,576666.6666666666
disgaea,3250000.0,962.5,12,17.0,1.0,80.20833333333333,270833.3333333333
nhl 2k,3240000.0,541.9,7,7.0,1.0,77.41428571428571,462857.14285714284
angry birds,3180000.0,349.3,5,7.0,1.0,69.86,636000.0
motogp,2600000.0,728.3,10,14.0,1.0,72.83,260000.0
ninja gaiden,2430000.0,505.5,7,9.0,1.0,72.21428571428571,347142.85714285716
farming simulator,2420000.0,311.5,5,5.0,1.0,62.3,484000.0
all star baseball,2290000.0,303.3,4,3.0,1.0,75.825,572500.0
way of the samurai,2000000.0,321.5,5,9.0,2.0,64.3,400000.0
grandia,1410000.0,305.0,4,7.0,2.0,76.25,352500.0
asphalt,1340000.0,152.0,3,8.0,3.0,50.666666666666664,446666.6666666667
army men,1060000.0,284.5,5,6.0,1.0,56.9,212000.0
breath of fire,980000.0,306.0,4,16.0,4.0,76.5,245000.0
god eater,920000.0,221.5,3,3.0,1.0,73.83333333333333,306666.6666666667
arcana heart,360000.0,150.0,2,6.0,3.0,75.0,180000.0
